age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,computer_network_score,operating_system_score,daa_score,overall_score,final_grade
14,other,private,graduate,5.5,80.0,yes,15-30 min,yes,group study,87.2,61.9,72.5,73.5,c
16,female,public,diploma,4.8,75.9,no,>60 min,yes,online videos,63.9,62.0,71.7,66.4,d
18,other,public,no formal,2.4,65.2,yes,>60 min,yes,mixed,47.5,53.4,45.7,53.5,e
17,other,private,phd,3.3,97.2,yes,30-60 min,yes,notes,54.3,42.4,56.4,56.9,d
14,female,public,graduate,2.2,57.0,no,30-60 min,no,coaching,25.0,28.8,25.2,33.8,f
14,female,public,graduate,2.3,98.7,no,>60 min,no,notes,67.3,81.5,37.3,56.2,d
17,male,private,graduate,3.3,89.1,yes,<15 min,yes,notes,46.6,61.4,58.0,60.9,d
16,male,public,phd,7.4,79.8,yes,<15 min,yes,online videos,100.0,100.0,98.3,99.3,a
19,female,private,post graduate,6.8,56.4,yes,>60 min,no,notes,95.7,74.7,74.7,79.6,c
17,female,public,post graduate,4.3,78.2,no,15-30 min,yes,textbook,59.3,73.5,78.2,67.1,d
19,female,private,post graduate,4.1,54.4,yes,<15 min,yes,group study,37.6,54.3,59.3,58.9,d
15,male,public,post graduate,0.7,96.6,yes,30-60 min,yes,online videos,34.2,38.0,41.3,35.6,f
16,other,private,post graduate,4.0,64.3,yes,>60 min,yes,group study,56.3,66.2,45.0,58.3,d
14,female,private,no formal,5.2,70.0,yes,<15 min,yes,mixed,71.9,68.8,84.7,73.3,c
17,female,public,diploma,6.3,81.8,yes,>60 min,no,mixed,83.8,95.4,94.5,90.2,b
15,female,public,high school,3.2,50.9,yes,30-60 min,yes,coaching,38.7,33.1,52.4,36.3,f
16,female,public,phd,7.4,77.1,yes,>60 min,yes,mixed,93.6,87.9,96.6,85.3,b
16,female,public,graduate,6.8,85.7,yes,30-60 min,no,notes,77.0,93.1,63.9,82.9,c
15,other,public,graduate,1.1,60.4,no,>60 min,no,notes,42.3,54.2,28.5,40.2,e
14,female,public,graduate,7.3,57.7,yes,<15 min,yes,notes,72.1,89.9,68.5,79.4,c
17,male,public,post graduate,2.2,74.4,yes,15-30 min,yes,group study,77.3,56.0,57.8,56.3,d
19,other,private,post graduate,7.4,76.8,yes,15-30 min,no,mixed,100.0,100.0,100.0,95.2,a
15,male,private,high school,5.2,72.0,yes,30-60 min,no,mixed,96.7,86.8,75.1,77.6,c
16,male,private,phd,3.6,64.8,yes,>60 min,yes,textbook,70.3,56.6,64.4,61.5,d
15,male,private,post graduate,3.8,70.5,yes,30-60 min,yes,textbook,38.8,41.3,42.4,51.8,e
18,other,private,high school,4.7,65.6,no,30-60 min,no,mixed,47.4,37.8,48.0,54.8,e
16,female,public,graduate,6.8,62.5,yes,>60 min,no,online videos,87.8,98.7,85.3,81.1,c
19,male,private,diploma,6.8,73.6,yes,30-60 min,yes,notes,72.1,59.8,84.5,75.3,c
15,other,public,diploma,3.6,69.8,yes,<15 min,no,online videos,64.9,55.9,63.4,58.1,d
14,male,private,phd,6.9,71.8,yes,>60 min,no,mixed,76.7,82.5,71.8,78.6,c
17,other,private,high school,4.0,50.0,yes,30-60 min,yes,textbook,69.0,49.0,53.4,61.0,d
17,other,public,phd,3.6,84.6,yes,<15 min,no,coaching,81.2,78.3,54.9,61.6,d
19,male,public,graduate,2.3,52.3,yes,<15 min,yes,textbook,28.6,65.8,43.5,41.9,e
19,other,public,post graduate,6.7,60.3,yes,30-60 min,yes,online videos,63.5,81.0,96.0,79.7,c
19,female,public,post graduate,5.2,90.2,yes,>60 min,yes,online videos,83.4,84.1,84.3,86.1,b
17,male,public,graduate,3.7,99.2,yes,>60 min,no,group study,75.1,68.5,76.5,75.7,c
16,female,public,high school,5.5,99.6,yes,15-30 min,no,textbook,84.4,93.5,99.8,89.7,b
16,female,public,phd,7.0,79.6,yes,>60 min,no,textbook,88.1,63.3,89.9,84.3,c
14,male,public,graduate,2.0,63.0,yes,<15 min,no,coaching,34.8,39.0,44.9,38.2,f
16,other,private,diploma,3.4,91.7,no,<15 min,no,coaching,53.3,68.7,61.5,61.4,d
16,male,public,high school,3.4,82.5,yes,<15 min,no,textbook,60.3,51.5,61.6,57.6,d
14,other,public,no formal,1.1,99.3,yes,<15 min,no,group study,64.0,58.6,58.0,56.2,d
15,other,private,high school,3.0,77.5,no,<15 min,yes,online videos,56.8,59.7,39.7,54.7,e
17,female,private,no formal,6.2,76.3,yes,<15 min,yes,coaching,100.0,86.8,73.4,83.4,c
16,male,public,phd,2.4,52.2,no,<15 min,yes,online videos,31.2,30.5,30.4,34.6,f
19,male,public,diploma,6.6,59.7,no,15-30 min,yes,mixed,77.4,93.2,79.4,86.4,b
16,male,public,graduate,7.7,83.3,yes,<15 min,no,textbook,100.0,91.7,93.0,100.0,a
19,female,public,post graduate,2.2,99.7,yes,15-30 min,yes,textbook,41.9,49.4,79.8,59.6,d
17,other,private,phd,3.6,73.8,yes,15-30 min,yes,textbook,86.5,60.1,69.9,66.7,d
14,male,public,diploma,1.5,51.5,yes,30-60 min,no,textbook,56.0,41.9,51.3,39.3,f
15,other,public,no formal,5.7,70.0,yes,<15 min,yes,online videos,78.7,47.4,42.9,65.5,d
18,male,public,graduate,4.1,56.3,no,<15 min,no,mixed,41.6,53.0,82.1,64.7,d
17,male,private,phd,4.9,98.0,yes,>60 min,no,online videos,70.2,63.2,63.5,74.4,c
15,female,public,diploma,6.3,57.1,yes,30-60 min,yes,online videos,67.0,68.8,83.3,67.3,d
17,other,public,no formal,6.3,55.9,yes,15-30 min,no,group study,83.4,74.4,76.7,82.6,c
19,other,private,post graduate,4.4,72.9,yes,>60 min,yes,textbook,63.2,45.3,45.1,56.4,d
16,female,private,graduate,7.1,77.1,no,30-60 min,yes,notes,100.0,77.4,96.4,90.5,b
14,male,public,no formal,7.5,85.9,no,<15 min,no,online videos,100.0,90.4,86.4,100.0,a
15,male,private,no formal,5.2,68.4,yes,<15 min,no,mixed,86.3,73.0,76.5,78.8,c
19,other,private,graduate,0.8,94.8,yes,<15 min,yes,group study,50.4,40.0,36.6,51.8,e
18,male,public,no formal,6.3,79.9,no,15-30 min,yes,notes,90.0,92.1,100.0,90.4,b
19,other,private,high school,7.2,52.4,no,<15 min,no,mixed,85.4,76.3,68.9,78.1,c
19,other,public,high school,4.7,51.7,yes,30-60 min,yes,mixed,55.5,79.3,74.0,67.4,d
14,other,public,diploma,5.8,73.4,yes,>60 min,yes,group study,68.0,86.6,72.5,69.6,d
15,male,private,post graduate,3.2,72.0,yes,30-60 min,yes,coaching,65.8,47.8,55.4,49.5,e
14,male,private,diploma,4.3,72.6,yes,30-60 min,no,textbook,64.3,62.5,53.3,57.7,d
14,male,public,phd,6.5,52.9,yes,>60 min,yes,online videos,87.7,83.4,80.7,77.1,c
19,female,public,graduate,7.1,52.7,yes,15-30 min,yes,group study,71.6,69.5,89.2,68.6,d
19,female,public,diploma,1.4,53.0,yes,30-60 min,yes,mixed,36.8,19.2,26.2,26.9,f
14,male,public,graduate,0.6,86.7,yes,15-30 min,yes,textbook,43.7,42.1,32.7,38.5,f
18,female,public,no formal,3.3,80.1,yes,>60 min,no,coaching,74.5,43.0,46.9,55.7,d
17,male,public,phd,3.4,56.8,yes,>60 min,no,coaching,35.8,43.9,42.2,40.0,f
14,female,public,high school,6.3,71.5,yes,30-60 min,yes,notes,66.3,72.1,69.6,73.6,c
19,male,private,phd,0.6,97.1,yes,>60 min,yes,online videos,17.4,36.4,29.4,34.7,f
19,other,private,graduate,6.2,53.5,yes,>60 min,yes,mixed,65.4,66.7,65.8,65.7,d
17,male,private,high school,4.5,59.5,yes,15-30 min,no,online videos,69.3,73.8,52.1,60.1,d
18,other,public,diploma,5.7,69.5,yes,30-60 min,no,group study,83.2,63.0,70.3,70.6,c
16,male,private,no formal,4.3,61.8,yes,15-30 min,no,online videos,66.1,73.9,56.7,65.6,d
18,male,private,graduate,6.4,57.9,yes,<15 min,no,mixed,85.7,72.8,82.7,71.9,c
16,male,private,no formal,3.8,98.7,yes,>60 min,no,textbook,70.9,82.3,54.7,67.9,d
19,female,private,graduate,3.1,88.3,no,<15 min,no,textbook,44.8,43.4,50.2,56.4,d
14,other,public,high school,5.3,86.5,no,>60 min,yes,textbook,79.2,69.1,87.9,70.1,c
15,male,private,no formal,3.8,96.6,yes,30-60 min,yes,notes,57.2,66.6,56.8,63.1,d
19,other,private,high school,2.8,59.4,yes,<15 min,yes,notes,50.4,54.5,48.9,54.7,e
15,other,public,no formal,7.4,94.5,yes,>60 min,no,mixed,100.0,81.7,94.6,97.2,a
15,female,private,phd,5.9,99.1,no,30-60 min,no,textbook,100.0,88.6,100.0,95.1,a
18,female,public,phd,2.0,79.3,no,<15 min,no,notes,54.0,41.3,33.6,49.7,e
15,other,public,phd,6.1,95.2,yes,<15 min,yes,coaching,76.4,100.0,87.6,83.8,c
17,other,public,post graduate,2.4,90.8,yes,30-60 min,no,group study,54.5,66.3,49.9,65.3,d
15,male,public,high school,3.7,65.9,no,30-60 min,no,coaching,52.2,37.1,63.6,47.3,e
15,other,private,post graduate,2.1,66.6,yes,15-30 min,no,mixed,54.7,59.4,46.9,51.9,e
19,female,public,post graduate,1.3,83.8,yes,>60 min,no,textbook,39.0,38.1,13.5,42.3,e
15,male,public,high school,3.5,77.6,yes,>60 min,yes,mixed,70.2,77.8,80.8,64.9,d
14,other,public,phd,4.7,69.2,yes,<15 min,no,online videos,72.8,63.3,81.3,71.4,c
18,other,private,phd,2.8,52.4,yes,15-30 min,yes,mixed,34.3,28.8,32.1,39.5,f
19,female,private,diploma,1.1,51.1,yes,15-30 min,yes,textbook,10.2,15.4,9.6,20.8,f
14,other,public,graduate,2.4,54.9,yes,15-30 min,yes,mixed,46.5,51.9,35.6,46.9,e
18,male,public,phd,2.3,70.2,yes,30-60 min,no,coaching,47.7,56.1,41.1,51.2,e
17,other,public,high school,4.9,51.4,yes,30-60 min,no,mixed,51.7,68.6,59.6,55.1,d
18,female,public,phd,2.6,57.4,yes,15-30 min,yes,notes,49.9,70.5,58.2,50.7,e
14,male,public,high school,4.5,98.4,yes,15-30 min,no,online videos,76.5,82.6,53.4,76.4,c
19,female,private,phd,4.0,72.5,yes,<15 min,yes,online videos,60.9,59.4,63.5,66.3,d
17,male,private,high school,2.5,96.7,yes,<15 min,yes,online videos,64.5,67.3,60.6,58.2,d
19,female,private,post graduate,6.1,59.5,yes,15-30 min,yes,online videos,61.2,65.1,52.2,64.4,d
16,other,public,graduate,5.5,67.9,yes,30-60 min,yes,online videos,66.1,63.2,71.4,62.9,d
19,female,private,diploma,5.6,83.6,yes,15-30 min,yes,textbook,73.1,80.8,60.3,81.7,c
17,other,public,diploma,3.8,99.5,no,<15 min,no,online videos,75.2,70.0,73.8,80.2,c
14,female,private,high school,2.9,85.0,yes,15-30 min,no,coaching,68.1,54.6,70.5,62.7,d
19,other,private,post graduate,4.9,95.1,yes,>60 min,no,notes,63.0,64.3,74.2,76.5,c
18,male,private,phd,7.7,52.5,yes,>60 min,no,group study,100.0,72.5,79.4,90.1,b
15,other,public,graduate,3.8,65.2,yes,30-60 min,no,mixed,62.0,58.6,59.5,56.2,d
17,female,public,high school,5.5,94.1,yes,>60 min,yes,group study,83.4,97.7,70.8,83.0,c
16,other,public,post graduate,3.8,76.2,yes,>60 min,yes,coaching,62.7,61.6,66.3,57.6,d
17,male,private,diploma,7.5,58.5,yes,30-60 min,no,notes,74.9,93.7,73.9,87.0,b
19,male,private,phd,2.5,58.5,yes,>60 min,no,online videos,48.4,65.1,56.3,44.8,e
19,other,public,high school,3.9,87.9,yes,<15 min,yes,textbook,58.2,64.8,85.0,75.2,c
15,other,private,graduate,4.2,57.9,yes,<15 min,no,coaching,63.9,70.4,75.4,54.7,e
19,other,public,diploma,6.0,74.9,no,<15 min,yes,textbook,68.7,90.2,72.4,77.8,c
16,female,public,phd,5.9,59.1,yes,30-60 min,yes,coaching,72.4,64.3,66.5,64.3,d
18,female,private,no formal,6.0,60.4,yes,30-60 min,no,group study,67.9,66.4,64.7,77.6,c
18,female,private,graduate,6.0,69.9,no,15-30 min,yes,notes,86.1,90.6,99.8,85.6,b
16,other,private,post graduate,4.0,55.9,yes,30-60 min,yes,textbook,64.8,88.4,61.7,63.9,d
16,male,private,diploma,1.7,83.0,yes,>60 min,no,textbook,46.9,56.2,60.7,46.3,e
16,male,private,graduate,7.0,58.3,yes,<15 min,yes,coaching,85.8,71.9,90.8,79.9,c
19,male,private,high school,2.9,87.6,yes,30-60 min,yes,group study,43.6,61.5,52.3,54.2,e
16,female,public,diploma,1.3,76.1,no,>60 min,yes,notes,31.8,47.8,50.2,50.3,e
15,other,private,phd,1.5,67.3,yes,30-60 min,no,group study,24.1,37.3,30.3,31.2,f
16,female,private,diploma,4.2,80.7,yes,30-60 min,yes,group study,82.1,61.4,71.2,71.4,c
15,female,private,high school,3.7,70.4,yes,30-60 min,yes,online videos,55.1,64.5,59.0,59.0,d
16,female,public,graduate,5.5,54.1,yes,<15 min,yes,group study,62.2,63.8,57.7,68.5,d
14,male,private,diploma,5.1,65.5,yes,<15 min,no,notes,87.7,49.7,71.4,69.6,d
14,other,public,post graduate,1.3,76.2,yes,>60 min,no,textbook,29.1,39.9,43.2,39.6,f
18,other,public,no formal,2.7,55.2,yes,15-30 min,yes,notes,53.3,36.3,28.8,44.1,e
14,other,public,phd,7.2,86.6,yes,30-60 min,no,mixed,86.0,84.8,100.0,96.2,a
17,other,public,post graduate,6.3,67.8,no,15-30 min,yes,textbook,76.0,71.9,64.8,86.5,b
18,female,public,phd,7.0,60.2,yes,>60 min,no,notes,86.9,72.5,81.9,78.2,c
18,other,public,diploma,0.7,50.4,yes,15-30 min,no,notes,31.1,20.8,18.4,24.7,f
16,female,public,diploma,7.3,54.2,yes,>60 min,no,mixed,65.3,75.2,63.1,73.6,c
15,other,public,diploma,7.0,61.9,yes,>60 min,yes,mixed,63.6,77.5,80.8,84.2,c
19,female,private,phd,3.9,68.3,yes,<15 min,no,online videos,65.5,58.1,59.7,66.9,d
19,other,private,no formal,5.6,57.7,yes,30-60 min,yes,mixed,66.8,63.4,79.1,68.5,d
17,male,public,graduate,2.5,77.2,yes,30-60 min,yes,coaching,64.9,46.1,25.3,45.7,e
14,male,public,high school,5.4,59.7,no,15-30 min,yes,textbook,53.9,65.1,56.2,66.3,d
14,male,private,graduate,6.5,97.7,yes,<15 min,yes,coaching,88.1,91.3,90.9,90.6,b
15,female,private,phd,4.1,78.2,no,30-60 min,yes,mixed,57.7,48.3,47.1,58.8,d
14,other,private,post graduate,0.7,89.8,yes,15-30 min,no,textbook,42.0,29.1,40.8,42.7,e
19,female,public,no formal,3.6,71.1,yes,30-60 min,no,group study,53.3,64.8,64.2,59.6,d
15,other,public,diploma,5.9,60.2,no,15-30 min,no,group study,61.3,69.7,54.8,66.4,d
15,female,public,no formal,5.8,72.5,yes,>60 min,no,group study,72.8,54.6,63.0,74.5,c
19,other,private,diploma,4.1,70.6,no,30-60 min,yes,notes,67.1,65.2,49.3,64.1,d
18,other,public,high school,7.9,81.2,yes,15-30 min,no,coaching,100.0,97.5,87.5,100.0,a
15,male,public,post graduate,1.4,95.5,yes,>60 min,no,group study,44.3,28.1,47.9,41.2,e
16,other,public,graduate,1.7,61.9,yes,<15 min,yes,textbook,40.8,63.2,43.6,46.3,e
17,male,private,high school,2.4,54.8,no,<15 min,no,group study,44.9,16.7,24.9,33.8,f
17,female,private,phd,6.5,85.8,no,<15 min,yes,coaching,89.2,94.8,70.5,86.2,b
19,female,public,post graduate,6.2,50.0,yes,15-30 min,yes,coaching,80.0,67.2,70.2,77.2,c
19,male,private,graduate,6.3,89.7,yes,<15 min,no,online videos,86.6,82.4,89.3,94.7,b
19,other,public,diploma,7.1,86.4,yes,>60 min,no,coaching,100.0,97.4,77.0,97.2,a
14,female,private,high school,3.8,91.3,yes,30-60 min,no,notes,59.5,47.8,60.7,58.8,d
15,male,public,graduate,2.9,54.5,yes,15-30 min,yes,textbook,50.0,53.1,31.2,41.3,e
17,male,private,post graduate,5.0,60.2,yes,15-30 min,no,notes,54.0,68.7,48.7,57.9,d
14,male,private,phd,3.6,77.6,yes,15-30 min,no,notes,52.7,56.1,57.8,60.3,d
16,male,public,post graduate,4.4,66.4,yes,>60 min,no,group study,44.3,61.6,63.8,59.6,d
14,male,public,no formal,1.6,92.3,no,30-60 min,yes,notes,59.1,64.6,40.1,58.1,d
19,male,public,phd,3.5,72.9,yes,15-30 min,no,group study,41.9,40.0,42.8,51.9,e
14,other,private,high school,4.0,71.5,no,<15 min,no,mixed,57.6,81.2,59.1,67.6,d
14,other,private,no formal,1.2,59.2,yes,<15 min,yes,coaching,39.1,23.5,13.8,30.4,f
15,other,public,graduate,8.0,78.1,no,15-30 min,yes,coaching,100.0,98.4,100.0,100.0,a
14,female,public,diploma,0.8,67.3,yes,15-30 min,no,textbook,19.7,25.9,33.9,28.5,f
17,other,private,no formal,7.4,72.5,yes,30-60 min,no,mixed,59.4,79.9,81.3,86.6,b
16,other,private,high school,1.1,63.6,yes,<15 min,no,coaching,19.8,25.7,27.6,31.9,f
19,male,public,high school,6.9,80.4,yes,<15 min,no,textbook,100.0,95.9,100.0,92.6,b
15,other,public,diploma,4.6,91.9,yes,15-30 min,yes,group study,77.1,80.7,65.1,76.0,c
17,other,public,post graduate,2.0,51.0,yes,15-30 min,yes,notes,38.0,33.3,33.2,45.2,e
17,female,public,post graduate,2.2,61.5,yes,<15 min,no,mixed,43.1,33.7,39.7,35.4,f
17,female,public,no formal,3.1,83.9,yes,<15 min,yes,coaching,61.3,57.8,57.1,68.4,d
18,female,public,high school,6.5,85.3,yes,>60 min,yes,notes,67.8,67.3,78.4,77.9,c
15,male,public,graduate,1.6,64.7,yes,>60 min,yes,mixed,41.7,55.7,30.5,39.4,f
17,male,public,post graduate,2.3,64.3,yes,>60 min,yes,textbook,39.2,35.2,32.0,38.3,f
18,male,private,no formal,5.7,87.3,yes,<15 min,yes,textbook,66.6,67.4,77.7,80.1,c
19,male,public,diploma,5.1,77.9,yes,30-60 min,yes,online videos,73.9,80.8,59.9,77.2,c
17,female,private,no formal,3.7,69.4,yes,>60 min,yes,notes,46.2,51.9,70.5,56.9,d
17,female,private,diploma,1.0,52.8,yes,<15 min,yes,coaching,39.4,36.4,38.5,36.2,f
19,male,public,diploma,4.7,82.7,yes,>60 min,no,textbook,73.2,64.1,68.2,74.8,c
17,male,private,high school,2.2,64.6,no,30-60 min,no,group study,54.0,43.0,31.0,43.7,e
19,other,public,phd,5.1,78.9,yes,30-60 min,no,coaching,68.9,89.2,60.5,81.2,c
14,other,private,post graduate,2.6,86.1,yes,<15 min,yes,textbook,64.4,69.7,69.6,61.4,d
16,female,public,graduate,7.9,73.2,yes,>60 min,yes,coaching,93.7,100.0,99.0,100.0,a
14,other,private,post graduate,4.9,62.7,yes,>60 min,yes,coaching,72.2,61.1,41.4,65.1,d
14,female,private,high school,4.8,60.7,no,30-60 min,yes,coaching,49.3,64.6,74.9,71.4,c
16,male,public,phd,6.8,85.2,yes,30-60 min,no,textbook,93.4,80.8,82.7,81.3,c
15,other,private,diploma,7.9,94.6,no,<15 min,no,mixed,100.0,98.5,100.0,100.0,a
16,other,private,diploma,6.3,99.0,yes,<15 min,no,group study,91.8,86.8,100.0,90.2,b
16,female,private,graduate,5.0,90.2,yes,<15 min,yes,online videos,82.1,55.4,69.1,66.2,d
17,female,public,graduate,7.0,80.1,yes,<15 min,yes,mixed,89.3,100.0,100.0,94.3,b
19,male,private,graduate,1.9,93.2,yes,>60 min,yes,coaching,74.3,62.5,65.3,60.3,d
19,female,private,post graduate,6.2,69.5,yes,15-30 min,no,coaching,85.6,61.1,79.7,78.6,c
16,female,public,high school,5.6,94.1,yes,>60 min,yes,coaching,79.4,81.0,71.8,81.4,c
15,female,public,post graduate,4.7,71.5,yes,15-30 min,no,group study,89.7,82.5,80.5,73.8,c
18,male,public,high school,7.0,79.8,yes,>60 min,yes,online videos,82.4,100.0,80.0,78.9,c
14,other,public,high school,5.8,58.5,yes,30-60 min,no,notes,73.9,78.1,75.4,76.8,c
17,female,private,diploma,5.9,74.9,yes,15-30 min,yes,mixed,89.7,89.2,86.8,81.3,c
16,male,private,graduate,7.3,67.1,yes,<15 min,no,online videos,83.5,91.3,83.9,87.3,b
15,other,public,graduate,5.7,68.3,yes,<15 min,no,group study,63.6,68.6,59.9,74.7,c
17,female,public,no formal,2.4,79.9,yes,15-30 min,no,textbook,50.3,50.2,36.4,46.7,e
15,female,public,post graduate,1.9,94.1,yes,15-30 min,yes,coaching,49.8,44.6,43.8,46.8,e
15,female,private,graduate,4.3,91.3,yes,15-30 min,no,online videos,73.4,64.8,70.8,72.6,c
17,female,public,graduate,2.3,67.4,yes,>60 min,yes,online videos,42.1,44.2,46.3,42.4,e
15,male,private,post graduate,5.7,86.7,yes,30-60 min,no,group study,70.4,77.6,73.1,75.4,c
18,male,private,post graduate,6.8,77.4,yes,<15 min,no,group study,78.8,94.1,93.0,86.8,b
14,other,public,diploma,2.7,67.4,yes,15-30 min,no,mixed,59.8,58.4,54.5,49.4,e
16,female,private,diploma,7.4,95.4,yes,30-60 min,no,notes,95.5,75.8,100.0,93.9,b
18,female,private,high school,6.1,58.1,yes,>60 min,yes,textbook,75.7,65.6,52.3,74.8,c
15,male,private,graduate,7.9,90.3,yes,>60 min,no,notes,76.3,100.0,93.9,90.3,b
18,other,private,high school,2.0,60.6,yes,15-30 min,no,online videos,56.3,42.0,63.0,48.5,e
18,other,public,graduate,4.0,94.6,yes,>60 min,yes,group study,55.9,51.7,65.7,62.6,d
19,other,private,diploma,5.3,86.1,yes,<15 min,yes,mixed,79.4,66.2,79.0,84.5,c
15,female,public,high school,6.2,73.2,no,15-30 min,yes,coaching,83.8,89.7,86.3,78.0,c
18,female,private,diploma,7.3,53.9,yes,15-30 min,no,mixed,78.2,82.8,100.0,85.3,b
19,other,public,phd,7.2,59.0,yes,15-30 min,no,online videos,84.0,72.0,92.0,84.0,c
18,other,private,graduate,2.3,58.2,yes,<15 min,no,online videos,43.7,34.1,19.7,42.5,e
15,female,private,diploma,3.7,88.1,yes,30-60 min,no,coaching,74.2,62.8,79.3,72.2,c
18,other,private,diploma,5.9,81.1,no,>60 min,yes,group study,74.5,92.2,75.7,73.0,c
14,other,public,graduate,1.5,60.9,no,15-30 min,yes,mixed,49.3,52.7,39.4,46.1,e
17,other,public,no formal,7.7,68.4,yes,15-30 min,no,textbook,100.0,99.8,100.0,95.3,a
16,male,private,graduate,6.1,65.5,yes,15-30 min,no,notes,86.4,88.5,69.6,83.6,c
17,male,private,no formal,6.7,82.6,yes,30-60 min,yes,textbook,100.0,100.0,100.0,96.0,a
17,male,private,phd,7.3,66.5,yes,<15 min,no,online videos,76.6,100.0,84.7,78.9,c
14,other,private,graduate,1.8,88.4,yes,<15 min,yes,coaching,59.4,60.8,56.0,59.2,d
17,male,private,no formal,3.7,84.7,yes,15-30 min,no,group study,87.6,61.7,68.8,64.9,d
19,male,public,diploma,5.4,62.1,yes,30-60 min,yes,coaching,62.8,88.5,89.4,70.0,d
16,male,private,phd,6.7,66.2,yes,<15 min,yes,textbook,70.1,69.7,75.6,75.8,c
15,male,private,phd,6.0,77.5,yes,>60 min,yes,notes,69.5,83.4,71.5,72.8,c
19,other,public,no formal,1.4,95.4,yes,<15 min,yes,coaching,59.3,31.9,40.8,42.8,e
14,other,public,high school,5.3,55.6,yes,>60 min,no,notes,60.7,58.3,44.6,55.3,d
16,other,private,no formal,2.7,67.9,yes,>60 min,yes,group study,54.7,45.7,47.0,46.0,e
17,male,public,diploma,3.5,80.0,yes,>60 min,yes,group study,63.8,63.8,54.6,66.4,d
16,female,public,phd,8.0,66.2,yes,30-60 min,yes,coaching,86.9,97.5,92.4,95.2,a
19,other,private,post graduate,1.7,64.5,no,>60 min,yes,group study,20.4,25.5,35.8,30.0,f
16,female,private,high school,1.3,71.6,yes,>60 min,yes,notes,42.3,26.4,45.7,45.3,e
19,other,public,high school,3.6,59.6,yes,15-30 min,yes,notes,64.2,62.1,39.4,53.8,e
14,female,private,graduate,7.0,80.2,yes,30-60 min,yes,textbook,82.5,80.7,82.0,84.0,c
18,male,public,graduate,1.7,93.9,yes,<15 min,no,textbook,55.1,49.9,57.9,51.1,e
17,female,private,diploma,1.1,95.5,yes,30-60 min,no,mixed,17.6,53.6,30.4,37.4,f
15,other,private,diploma,3.6,73.6,yes,30-60 min,yes,notes,53.4,54.7,62.5,57.1,d
15,other,public,phd,5.2,64.7,yes,15-30 min,no,mixed,56.9,66.9,56.1,63.3,d
18,female,public,graduate,1.7,69.1,yes,<15 min,yes,coaching,46.0,35.2,57.4,43.5,e
17,female,private,post graduate,6.5,61.4,yes,30-60 min,no,online videos,99.5,100.0,81.8,82.5,c
17,other,public,phd,6.8,79.9,yes,<15 min,no,textbook,97.1,80.5,96.4,87.0,b
14,other,private,diploma,4.4,56.7,yes,<15 min,no,notes,55.7,49.3,66.0,60.4,d
17,female,public,post graduate,0.7,65.9,no,30-60 min,no,textbook,28.4,14.9,59.0,41.5,e
19,male,private,post graduate,4.4,58.5,yes,30-60 min,yes,textbook,67.5,69.5,74.1,63.2,d
14,other,private,high school,2.1,60.3,yes,15-30 min,yes,mixed,36.4,39.5,37.8,34.9,f
16,other,private,high school,3.8,83.6,yes,30-60 min,no,online videos,75.2,70.7,71.0,73.1,c
16,male,private,no formal,6.2,99.6,yes,30-60 min,no,mixed,79.1,82.0,73.5,84.4,c
19,male,private,graduate,0.9,83.8,yes,15-30 min,yes,textbook,47.8,36.3,28.0,40.5,e
15,male,public,post graduate,0.5,62.2,yes,30-60 min,yes,mixed,33.1,52.1,27.4,35.4,f
16,female,public,post graduate,1.5,70.4,yes,30-60 min,no,textbook,27.8,33.4,26.8,40.5,e
18,male,public,diploma,0.8,81.4,yes,30-60 min,yes,notes,58.4,42.7,38.8,45.1,e
14,other,public,post graduate,2.5,93.4,yes,>60 min,no,group study,62.8,40.1,52.8,59.8,d
18,other,private,no formal,3.5,85.7,yes,30-60 min,yes,notes,80.2,73.3,75.7,68.1,d
18,male,public,graduate,6.3,57.3,yes,15-30 min,yes,notes,78.6,69.9,78.8,70.4,c
18,other,private,diploma,0.7,80.2,yes,<15 min,yes,notes,55.0,52.7,34.7,47.2,e
17,male,private,post graduate,3.1,59.9,no,15-30 min,no,mixed,70.8,52.3,30.6,48.0,e
18,other,private,phd,7.5,68.7,yes,15-30 min,yes,notes,95.8,90.5,81.6,87.9,b
18,female,private,graduate,4.8,98.2,yes,15-30 min,yes,online videos,63.8,69.7,79.8,76.9,c
19,male,public,graduate,6.7,94.6,no,<15 min,no,mixed,73.7,76.9,63.5,83.6,c
16,female,public,phd,4.1,62.8,yes,>60 min,no,textbook,47.4,55.9,71.5,50.2,e
16,other,public,diploma,1.2,86.4,yes,30-60 min,no,online videos,20.6,29.6,38.8,35.1,f
17,other,public,no formal,1.9,66.5,yes,>60 min,no,notes,34.9,53.0,44.7,47.1,e
15,male,public,graduate,6.2,50.4,yes,>60 min,yes,group study,76.3,64.6,51.1,63.2,d
19,other,private,diploma,7.0,92.5,yes,>60 min,yes,group study,100.0,100.0,100.0,98.8,a
18,male,public,graduate,4.0,91.1,yes,>60 min,no,textbook,85.0,65.6,71.1,76.8,c
17,female,private,post graduate,4.2,64.7,yes,30-60 min,yes,online videos,47.4,49.3,37.8,53.9,e
15,male,public,graduate,3.9,88.6,yes,>60 min,yes,textbook,50.8,59.8,54.9,59.8,d
16,other,private,high school,0.6,51.6,yes,>60 min,no,online videos,29.8,24.8,37.1,32.7,f
